asset,minute,spread_bps,best_bid_changed,best_ask_changed,book_state_changed,quote_updates,informed_share,informed_ratio,n_takers,n_classified,spread_lag1,informed_share_lag1,quote_updates_lag1,spread_lead1,informed_share_lead1,spread_lag2,informed_share_lag2,quote_updates_lag2,spread_lead2,informed_share_lead2,spread_lag3,informed_share_lag3,quote_updates_lag3,spread_lead3,informed_share_lead3,spread_lag4,informed_share_lag4,quote_updates_lag4,spread_lead4,informed_share_lead4,spread_lag5,informed_share_lag5,quote_updates_lag5,spread_lead5,informed_share_lead5,spread_change,informed_share_change,date,hour,minute_of_hour,is_outage,is_outage_day
SOL,2025-07-29 13:39:00+00:00,0.5418585753099638,38,35,108,73,0.2727272727272727,0.375,150,22,0.5413452429281854,1.0,89.0,0.5420201089455489,1.0,0.5409645397754632,0.8,75.0,0.5417558306466346,0.0,0.5409645397754632,0.5,63.0,0.5430945531616085,1.0,0.5412280464384124,0.8666666666666667,76.0,0.5437294402300468,0.9411764705882353,0.5414331736100547,1.0,69.0,0.5439660565175785,1.0,0.0005133323817784197,-0.7272727272727273,2025-07-29,13,39,False,True
SOL,2025-07-29 13:40:00+00:00,0.5420201089455489,38,38,110,76,1.0,,133,7,0.5418585753099638,0.2727272727272727,73.0,0.5417558306466346,0.0,0.5413452429281854,1.0,89.0,0.5430945531616085,1.0,0.5409645397754632,0.8,75.0,0.5437294402300468,0.9411764705882353,0.5409645397754632,0.5,63.0,0.5439660565175785,1.0,0.5412280464384124,0.8666666666666667,76.0,0.5435225697757603,0.6666666666666666,0.00016153363558502054,0.7272727272727273,2025-07-29,13,40,False,True
SOL,2025-07-29 13:41:00+00:00,0.5417558306466346,27,27,108,54,0.0,0.0,103,2,0.5420201089455489,1.0,76.0,0.5430945531616085,1.0,0.5418585753099638,0.2727272727272727,73.0,0.5437294402300468,0.9411764705882353,0.5413452429281854,1.0,89.0,0.5439660565175785,1.0,0.5409645397754632,0.8,75.0,0.5435225697757603,0.6666666666666666,0.5409645397754632,0.5,63.0,0.5433453774902511,1.0,-0.0002642782989142889,-1.0,2025-07-29,13,41,False,True
SOL,2025-07-29 13:42:00+00:00,0.5430945531616085,44,40,109,84,1.0,,110,3,0.5417558306466346,0.0,54.0,0.5437294402300468,0.9411764705882353,0.5420201089455489,1.0,76.0,0.5439660565175785,1.0,0.5418585753099638,0.2727272727272727,73.0,0.5435225697757603,0.6666666666666666,0.5413452429281854,1.0,89.0,0.5433453774902511,1.0,0.5409645397754632,0.8,75.0,0.5430208248481391,1.0,0.0013387225149739113,1.0,2025-07-29,13,42,False,True
SOL,2025-07-29 13:43:00+00:00,0.5437294402300468,46,48,110,94,0.9411764705882353,16.0,209,34,0.5430945531616085,1.0,84.0,0.5439660565175785,1.0,0.5417558306466346,0.0,54.0,0.5435225697757603,0.6666666666666666,0.5420201089455489,1.0,76.0,0.5433453774902511,1.0,0.5418585753099638,0.2727272727272727,73.0,0.5430208248481391,1.0,0.5413452429281854,1.0,89.0,0.5435225697757603,1.0,0.0006348870684382835,-0.05882352941176472,2025-07-29,13,43,False,True
SOL,2025-07-29 13:44:00+00:00,0.5439660565175785,49,46,109,95,1.0,,193,15,0.5437294402300468,0.9411764705882353,94.0,0.5435225697757603,0.6666666666666666,0.5430945531616085,1.0,84.0,0.5433453774902511,1.0,0.5417558306466346,0.0,54.0,0.5430208248481391,1.0,0.5420201089455489,1.0,76.0,0.5435225697757603,1.0,0.5418585753099638,0.2727272727272727,73.0,0.5439364682200172,1.0,0.00023661628753168795,0.05882352941176472,2025-07-29,13,44,False,True
SOL,2025-07-29 13:45:00+00:00,0.5435225697757603,49,47,111,96,0.6666666666666666,2.0,36,9,0.5439660565175785,1.0,95.0,0.5433453774902511,1.0,0.5437294402300468,0.9411764705882353,94.0,0.5430208248481391,1.0,0.5430945531616085,1.0,84.0,0.5435225697757603,1.0,0.5417558306466346,0.0,54.0,0.5439364682200172,1.0,0.5420201089455489,1.0,76.0,0.5456877029271182,0.9411764705882353,-0.0004434867418181554,-0.33333333333333337,2025-07-29,13,45,False,True
SOL,2025-07-29 13:46:00+00:00,0.5433453774902511,49,46,109,95,1.0,,63,8,0.5435225697757603,0.6666666666666666,96.0,0.5430208248481391,1.0,0.5439660565175785,1.0,95.0,0.5435225697757603,1.0,0.5437294402300468,0.9411764705882353,94.0,0.5439364682200172,1.0,0.5430945531616085,1.0,84.0,0.5456877029271182,0.9411764705882353,0.5417558306466346,0.0,54.0,0.5458664264849425,1.0,-0.00017719228550916455,0.33333333333333337,2025-07-29,13,46,False,True
SOL,2025-07-29 13:47:00+00:00,0.5430208248481391,42,44,110,86,1.0,,68,1,0.5433453774902511,1.0,95.0,0.5435225697757603,1.0,0.5435225697757603,0.6666666666666666,96.0,0.5439364682200172,1.0,0.5439660565175785,1.0,95.0,0.5456877029271182,0.9411764705882353,0.5437294402300468,0.9411764705882353,94.0,0.5458664264849425,1.0,0.5430945531616085,1.0,84.0,0.5458068389591957,1.0,-0.0003245526421120637,0.0,2025-07-29,13,47,False,True
SOL,2025-07-29 13:48:00+00:00,0.5435225697757603,51,49,110,100,1.0,,134,9,0.5430208248481391,1.0,86.0,0.5439364682200172,1.0,0.5433453774902511,1.0,95.0,0.5456877029271182,0.9411764705882353,0.5435225697757603,0.6666666666666666,96.0,0.5458664264849425,1.0,0.5439660565175785,1.0,95.0,0.5458068389591957,1.0,0.5437294402300468,0.9411764705882353,94.0,0.5460452671521504,1.0,0.0005017449276212282,0.0,2025-07-29,13,48,False,True
