wallet,mean_markout,std_markout,n_trades,quintile
0x0217d6601b8cefbfe046438d69856438b9ca505e,-17.165041713473506,19.384958408641857,5,1
0x02251a20d04618c60478af23a60e60290758e387,-1.6415595954882554,9.630775633373716,8,2
0x022b893dbac50a8d3e2ed13ccd94b277c91bdb50,-0.9729841376348748,0.126032449771919,8,3
0x022db7a99742beb66f93f4dfa3e0acd0261d992c,3.076101979124761,13.250313461415601,24,4
0x0236891ff329773cc65e04d2731b55b792d44203,3.585139305306014,12.97692435780182,8,4
0x0238a41e432d844c50aaede793977485e27bd845,6.444450843539959,13.479257722256463,6,5
0x023a3d058020fb76cca98f01b3c48c8938a22355,-3.6660966073253505,14.355866194012176,74,2
0x023ab8e20a4682d315daef4c91db96bd77934d66,0.4292005519614578,3.016079709918198,17,3
0x024a9dce8f7c0a08d89c2440040b9009e783b0b0,10.22862141198491,15.687209473942822,83,5
0x02562fde2485961d5413ef5ba922dbe1daa6cb0c,0.2338747898597185,6.540916100451675,32,3
0x02588018afc4d885583a7d06f8ae1bda2f101690,2.0752560736468864,4.684765600827513,5,4
0x0259a7e27c9fd794934adee243a449b55a0211d1,6.398723102293088,17.850883976137556,28,5
0x025a1d3060eee19b1efe3972196f29e1abb81b34,0.8935834639101855,16.78015680451679,86,3
0x025dcd45c40f12ead50e52b87a89d30d3d6463d6,-8.592466909858489,8.71966837617193,6,1
0x02646f4e25bb2e1f0b04c7488fc2c2b1fb805194,-4.941256658269936,0.41067111860258176,12,1
0x0266a2451f715276eab4d1a0d6abece0b475af5f,5.260541938122856,31.511053707803203,513,5
0x0270790c255bd317c5833114bffee34aee0d7663,-3.9669087830560734,14.134956885512768,12,2
0x027717f112baa657c224eadadbb02602b463508b,0.5328277203404582,12.82582550521897,100,3
0x027af7e139d3e0f1ae25d737fcc0fad2bb4d3223,16.44627582004554,42.11574811035064,109,5
0x027f1bf24345d19c2bc1b3e451355edbf246a4d3,3.1538477607438913,9.403039971162716,5,4
0x0294b535753c4284bd24c0af6e82415e005aa293,1.8095310993212532,3.7702071167283524,5,4
0x02a250b4f8479ae742415307a23bc9440e67f737,3.4655181995431468,4.7748378353057905,10,4
0x02aa1ddbaaa6c0bf4a87ecd69757e7ed7c5c6b4f,12.986669238843444,9.465340601417122,11,5
0x02bb80c8fa09995730a241742578f3e939f65786,0.9980839737241948,5.203118603521712,32,3
0x02bcc47fffd7cabfd967fc5cd90317d4894a1dcd,2.4249415924989384,5.830861316413959,13,4
0x02be50c789ed9d61c32698d6fcd3d947ceb763aa,-5.823966814308464,5.595866743252726,30,1
0x02bf19e96f90df65b43830b956db6bb9047ec562,-3.099186949583375,2.037547921393122,32,2
0x02c4cb6d885b57506b65c0c1e815888b520aacbc,6.561326696084176,7.995604511533136,11,5
0x02c76a50bfe34f25ced3fd78496effa3ca1a2114,-3.6642921369241237,3.8260820318669957,5,2
0x02c94b0fd7b313eae3194818e7cc3e3e2b9a33df,-5.194287124049828,4.219083994229618,160,1
0x02e52f0a467c1c07c5fa46cd0fc2220b782844e5,-5.898337566370799,3.34371591367048,16,1
0x02ebdde238783de7f9c60bb269e1446a3e0262b8,3.233018822378886,4.25532692052269,19,4
0x02f3584caea574c6159d6b4d0c954a791be5afe5,-11.935750867751386,6.586476920678501,5,1
0x02f9f6fb43dec2fb524ec34c2611dffb8139e193,-1.577798697546422,10.780913447199461,734,2
0x030fe00025f2096ffa3d8861b9ab5e8e7ac50ff9,8.973562873630426,8.867006776954831,32,5
0x032e99f25543ba34ba5b21b97446fde8dff04151,18.457047044389178,9.991764402289869,5,5
0x0334f1e4970ebfb2a98836e7541ea1171bc1e778,-6.735754058670697,25.584853908554766,18,1
0x03352b57b06024d6442f2fee07ccc230af7183d2,4.067715445590016,5.265614315168688,5,4
0x03366f5d4c0280539d1fc3beb1dfda72200cbe36,0.28081967796115415,9.776272056373754,9,3
0x035a6a2c9994f29a68a0d404cfbf529420a2f17c,-0.6942852484541168,27.64516186840957,13,3
0x035cc6cf5bbd073f549357f6fd014ffbf0b70905,-4.580357475759113,22.3453250303915,7,2
0x03626de69f296a4f2617664115cf3272a6027b66,-3.638730946843342,7.5335326784537315,7,2
0x0364af60453990006fe32a5ae97f1c7dd1b05875,-3.881142902175654,2.199876938502556,18,2
0x037f5924e19223e2465e928c9eafc3203c3abc69,-10.41802980677639,10.161580034331324,12,1
0x037fc42538b5d9ef9dac40e9168700353be734c8,11.651670386439116,6.722916670260463,23,5
0x0386a39179426db67947122b2a3a013463e04c61,3.5085597282272523,6.96830761882706,41,4
0x0386ef22a06aeeabad38325c31e4f54f4b422279,-4.419758447949794,8.348972628750914,45,2
0x038dea7f68eb020a2f0dd8a22e7ac25ccad0b90d,-16.327390531854107,27.278144881833732,6,1
0x0392c0d81934b52f64aa50c2cfbbcf28cd6141b2,2.983934009627895,20.90989223345259,68,4
0x039a61c8efcfcfc52e997b8bdfd785e08a0d138d,-1.4460665150207086,5.4418526239910765,986,2
0x03a90c8505e1d43ec5a8b35fa2b7e44352629d5b,-11.788974068018758,2.2148401301347307,13,1
0x03af00dda1cee29633b8a8e23745fade7c6c38bb,16.028176748708496,1.3041875204495197,18,5
0x03b3d7811f5c520fa7d6fb487ca8f6a47df03d85,-3.661192704394227,16.49232396830223,491,2
0x03b764b8b4a80bdae84f0452e75fbef41fd47fc1,-3.256925731905618,20.162691658905786,29,2
0x03b7f6abb1cf0c677556b4c69c51f5bd900c979b,-0.7557683562850311,6.597245506007595,5,3
0x03b9a189e2480d1e4c3007080b29f362282130fa,0.29141002407338606,69.72057987898629,328,3
0x03bf0fdd12be54854d46d46d9217731301ca0f56,-7.578926877478944,11.95092108736388,11,1
0x03c1f8c09cf9c6f1d55bb577ef2a3abce831eb2b,0.7266080442980117,33.46839919908185,277,3
