coin,wallet,n_fills,tob_fills,tob_rate,volume,mpsc,outage_fills,outage_tob_fills,outage_tob_rate,withdrew
BTC,0x01783e91d31c69633153c2aadbf9b7901049d03a,4,0,0.0,0.152,0.0,4.0,0.0,0.0,False
BTC,0x01f84fa6bfce8005694a1a66237957fbce05b7fc,2,0,0.0,0.00841,0.0,1.0,0.0,0.0,False
BTC,0x023a3d058020fb76cca98f01b3c48c8938a22355,65,22,0.3384615384615385,30.41175,0.003531300160513644,71.0,5.0,0.07042253521126761,False
BTC,0x02808c252480c20b7f4cbee5501f1e92a9d0c1b6,2,2,1.0,0.051590000000000004,0.00032102728731942215,0.0,0.0,,True
BTC,0x0291639ea7178930475da17b579e1ac2de8faed8,67,44,0.6567164179104478,3.36854,0.007062600321027288,0.0,0.0,,True
BTC,0x063e60c317b402200e4f2b8aa7f87c41de88ea61,3,1,0.3333333333333333,0.02219,0.00016051364365971107,0.0,0.0,,True
BTC,0x070a56844ef6322e68f0663668e0bb6e6980c27c,8,2,0.25,0.00072,0.00032102728731942215,1.0,0.0,0.0,False
BTC,0x07aa8811546c48a6b51d94d85ced5a5ff478203f,2,0,0.0,0.007,0.0,0.0,0.0,,True
BTC,0x090d2a8a967dce4fca1f0a8268be64f33f06a43c,15,0,0.0,2.0,0.0,0.0,0.0,,True
BTC,0x099df6e2c1c9cf5dcfaa7af3eb5ac9e2d068b92b,39,39,1.0,14.69534,0.006260032102728732,0.0,0.0,,True
BTC,0x09b4ef77644f9f72b04db96dda76d082ba234d5a,1,1,1.0,0.00016,0.00016051364365971107,0.0,0.0,,True
BTC,0x09bc1cf4d9f0b59e1425a8fde4d4b1f7d3c9410d,40,17,0.425,28.322039999999998,0.0027287319422150884,5.0,0.0,0.0,False
BTC,0x0a97692d91fa9195a52da81cca2051c032c5347d,15,10,0.6666666666666666,1.68285,0.0016051364365971107,0.0,0.0,,True
BTC,0x0af22dd6fffc09f49342092c1af1dd1f317bf6af,3,0,0.0,0.04212,0.0,0.0,0.0,,True
BTC,0x0b35427aa2f8193fe426b2332878acce6f34ae61,2,0,0.0,0.076,0.0,1.0,0.0,0.0,False
BTC,0x0b5488eadf81e259963a748f4455844fe621c2d5,4,4,1.0,1.16336,0.0006420545746388443,0.0,0.0,,True
BTC,0x0d21824b8b01a27ac6cec27c62b75f2d62b35a09,1,1,1.0,0.01685,0.00016051364365971107,0.0,0.0,,True
BTC,0x0dd840f03ddfb665f9ddb6cac1c8822a953eac30,3,1,0.3333333333333333,0.00502,0.00016051364365971107,1.0,0.0,0.0,False
BTC,0x0dfcd3419337a894d657ead3c91a4caa821dfe10,2,0,0.0,0.4,0.0,0.0,0.0,,True
BTC,0x0dfd7a958c00b53e1c0f2bc58d89e81bc6e19225,1,0,0.0,0.038,0.0,2.0,0.0,0.0,False
BTC,0x0f3de69066b0379fdedb2578e9f9fc00cc090c00,5,5,1.0,0.04463,0.0008025682182985554,1.0,0.0,0.0,False
BTC,0x0f703f53d622d4b20888ccf2ebbe35a948c4af6a,1,0,0.0,0.00588,0.0,0.0,0.0,,True
BTC,0x0fd468a73084daa6ea77a9261e40fdec3e67e0c7,52,22,0.4230769230769231,7.90277,0.003531300160513644,1.0,0.0,0.0,False
BTC,0x11e87787db9dd0c48069b59c1b35b9475bc3e537,4,1,0.25,0.00632,0.00016051364365971107,0.0,0.0,,True
BTC,0x144aa5fa6a2d93693c414a5e9c837089c6f29b4d,1,0,0.0,0.09292,0.0,0.0,0.0,,True
BTC,0x172b3dc74c2065b083670ce94344ad417469ca71,69,25,0.36231884057971014,6.14358,0.0040128410914927765,77.0,23.0,0.2987012987012987,False
BTC,0x198b34f847bed169d5831be14dc00b90e75c0c72,20,0,0.0,2.0,0.0,0.0,0.0,,True
BTC,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,143,121,0.8461538461538461,8.29397,0.01942215088282504,38.0,6.0,0.15789473684210525,False
BTC,0x1c1c270b573d55b68b3d14722b5d5d401511bed0,162,118,0.7283950617283951,3.23087,0.018940609951845908,2.0,0.0,0.0,False
BTC,0x1cb08a17954895dd7fb7d485ff0ea12283a93dee,1,1,1.0,0.5,0.00016051364365971107,0.0,0.0,,True
BTC,0x1dd2ddfaf6f2a7836b1dd855342e4069c21a6c23,3,1,0.3333333333333333,0.015,0.00016051364365971107,0.0,0.0,,True
BTC,0x1dd4af3383fce2ee4a40d9fb6766cbfcce2ddbce,28,1,0.03571428571428571,0.00476,0.00016051364365971107,15.0,0.0,0.0,False
BTC,0x1ec15e24896f4feb55dd70d22dc3620ae3cc990c,55,32,0.5818181818181818,3.84335,0.005136436597110754,0.0,0.0,,True
BTC,0x1ece8e8929b0d8846715a13cb9b4a2ebe85f4943,3,3,1.0,0.08,0.0004815409309791332,0.0,0.0,,True
BTC,0x1ed8d101622beaf192d06137dfb220851bcad9fa,2,0,0.0,0.016,0.0,0.0,0.0,,True
BTC,0x2025137a136bea7446deba681cbfc7cf1970840e,1,0,0.0,0.0437,0.0,307.0,12.0,0.03908794788273615,False
BTC,0x20c741ffb07249414ff576750767d30c5e19d94f,3,1,0.3333333333333333,0.11399999999999999,0.00016051364365971107,49.0,3.0,0.061224489795918366,False
BTC,0x21b5eb0ca859383f7d8b6906cddb115e92e80913,70,55,0.7857142857142857,10.47494,0.00882825040128411,29.0,0.0,0.0,False
BTC,0x237dd7569e709b25f607dce91bcaf7016171ebd8,2,2,1.0,2.0,0.00032102728731942215,0.0,0.0,,True
BTC,0x245f520f01682b1d779b3544fcf1556ca417f518,2,0,0.0,0.68872,0.0,129.0,0.0,0.0,False
BTC,0x247ddf11cce133f45af0e18f8018fd4582aba2e7,3,0,0.0,0.11399999999999999,0.0,3.0,0.0,0.0,False
BTC,0x24a81ade94952eff40bdb081a230f8fdd4a4313c,3,0,0.0,0.11399999999999999,0.0,6.0,0.0,0.0,False
BTC,0x26869599b7647177c78610d7a6b9d0b7bf32fcf5,1,1,1.0,0.02521,0.00016051364365971107,0.0,0.0,,True
BTC,0x28a56976383c7d532dc19f017f8ef210e45025a6,1,0,0.0,0.00666,0.0,0.0,0.0,,True
BTC,0x2ad7672c2990107b8fd8130d896d5bdd2aa4a6b9,37,3,0.08108108108108109,0.2198,0.0004815409309791332,23.0,0.0,0.0,False
BTC,0x2b6e6e7d5ca51b9d36fbb0efb9f7e440edb8507c,20,13,0.65,0.7179,0.002086677367576244,7.0,1.0,0.14285714285714285,False
BTC,0x2cb562384765bea1612ceb60007e315f904fbe86,32,20,0.625,2.47455,0.0032102728731942215,85.0,0.0,0.0,False
BTC,0x2cffce91b4e0c81df18726ff66b31b2b1545e1ad,109,79,0.7247706422018348,4.66489,0.012680577849117174,0.0,0.0,,True
BTC,0x2d29c09ef733f48fe10074a2dd7c38b50a9d4d89,6,5,0.8333333333333334,1.2411,0.0008025682182985554,0.0,0.0,,True
BTC,0x2d46792b530edc6951935dd7c8c79141dbcf1d43,77,57,0.7402597402597403,4.31658,0.009149277688603531,0.0,0.0,,True
BTC,0x2f55331b4fa24efa8fbfeafb896669c0733f827a,1,0,0.0,0.038,0.0,16.0,1.0,0.0625,False
BTC,0x2f5fb1444c8ebd457022c81d715f50c1bbd904ad,3,0,0.0,0.033699999999999994,0.0,3.0,2.0,0.6666666666666666,False
BTC,0x2f7eb45927a2076d52e00463d8015a360a495405,33,30,0.9090909090909091,0.9,0.004815409309791332,0.0,0.0,,True
BTC,0x2fbc88b1c9616c35a747c1c3e1a6485345893afd,1,1,1.0,0.00165,0.00016051364365971107,0.0,0.0,,True
BTC,0x3136078daf146b829e2d27a76f84c021ca218b7e,1,1,1.0,0.05313,0.00016051364365971107,0.0,0.0,,True
BTC,0x3137dab4798758869ec683b221a0a8067ae30fae,10,3,0.3,0.02944,0.0004815409309791332,8.0,0.0,0.0,False
BTC,0x31ca8395cf837de08b24da3f660e77761dfb974b,52,20,0.38461538461538464,0.77974,0.0032102728731942215,889.0,85.0,0.09561304836895389,False
BTC,0x31dea2516beee92135b96f464eeec3cf292a13f2,1,0,0.0,0.39911,0.0,14.0,0.0,0.0,False
BTC,0x335f45392f8d87745aaae68f5c192849afd9b60e,45,24,0.5333333333333333,5.85027,0.0038523274478330658,1.0,0.0,0.0,False
BTC,0x339030695894d065719b8ee501459a467ef1388a,170,143,0.8411764705882353,18.45788,0.022953451043338683,21.0,7.0,0.3333333333333333,False
BTC,0x33ad48ed92e3e91a98278f0f7456eae6eafa516e,10,3,0.3,0.72211,0.0004815409309791332,13.0,0.0,0.0,False
BTC,0x342f5b2fd4f4a24eb212a2594ac48b13556a8e83,2,1,0.5,0.56264,0.00016051364365971107,5.0,0.0,0.0,False
BTC,0x34e6f904373629ee33d5cabbeb074749b9c116ce,1,1,1.0,0.00176,0.00016051364365971107,0.0,0.0,,True
BTC,0x363f4a8869ce8ef9959367a2395c73fe30a91000,1,0,0.0,0.038,0.0,7.0,0.0,0.0,False
BTC,0x3957f26d7ddf30b21613189c6c688b43df698cca,2,2,1.0,0.0002,0.00032102728731942215,0.0,0.0,,True
BTC,0x39a94149e514ea5c3d0643242eb20092a6cbc418,5,2,0.4,0.00102,0.00032102728731942215,2.0,0.0,0.0,False
BTC,0x3a5d12c3ea5708072f7692b23ac786583b8b9f92,2,2,1.0,0.11249999999999999,0.00032102728731942215,9.0,0.0,0.0,False
BTC,0x3ac9b030594c1ef23a3e8fed9f62356b7bf98bf6,98,84,0.8571428571428571,2.09437,0.01348314606741573,0.0,0.0,,True
BTC,0x3af3cd80750d098d8f9951d648d1aabf8e4799bc,1,0,0.0,0.06107,0.0,0.0,0.0,,True
BTC,0x3bcae23e8c380dab4732e9a159c0456f12d866f3,52,16,0.3076923076923077,4.36235,0.002568218298555377,4.0,0.0,0.0,False
BTC,0x3c82347e726f1a8dfaa67c0276875da456be7531,3,2,0.6666666666666666,1.8994300000000002,0.00032102728731942215,0.0,0.0,,True
BTC,0x3f5a5c6b29a95dc27f33b257ac216d4b922a9b0d,2,2,1.0,0.33631,0.00032102728731942215,7.0,0.0,0.0,False
BTC,0x41588fabc1d3dadc8658de50c584dc00a7f09652,10,0,0.0,0.25,0.0,0.0,0.0,,True
BTC,0x42885bfee595c7bf079609433fa3f2bc24e72096,67,40,0.5970149253731343,8.56834,0.006420545746388443,17.0,0.0,0.0,False
BTC,0x4520070a2073f206217ad721235e47131e5a16b7,84,22,0.2619047619047619,0.008,0.003531300160513644,7.0,0.0,0.0,False
