asset,time,spread,bid_updates,ask_updates,quote_updates,ratio,log_ratio,n_informed,n_uninformed,n_total,spread_lag1,spread_lead1,ratio_lag1,ratio_lead1,log_ratio_lag1,spread_lag2,spread_lead2,ratio_lag2,ratio_lead2,log_ratio_lag2,spread_lag3,spread_lead3,ratio_lag3,ratio_lead3,log_ratio_lag3,spread_lag4,spread_lead4,ratio_lag4,ratio_lead4,log_ratio_lag4,spread_lag5,spread_lead5,ratio_lag5,ratio_lead5,log_ratio_lag5,spread_lag6,spread_lead6,ratio_lag6,ratio_lead6,log_ratio_lag6,d_spread,d_ratio,d_log_ratio,minute,is_outage
ARB,2025-07-29 13:23:30+00:00,4.211027095077586,50,17,67,1.0,0.0,0,0,1,3.8719522611050547,4.10621407062719,1.0,1.0,0.0,4.779842720413069,3.4060332201769654,1.0,0.047619047619047616,0.0,3.6443978771380876,3.8561431763278966,11.0,11.0,2.3978952727983707,3.6466405324093687,3.1749631477498355,0.09090909090909091,1.0,-2.3978952727983707,3.655597100455751,4.085987333439572,1.0,1.0,0.0,4.1135336627901165,3.8606092949846937,1.0,1.0,0.0,0.3390748339725316,0.0,0.0,803,False
ARB,2025-07-29 13:25:00+00:00,4.10621407062719,47,20,67,1.0,0.0,0,0,1,4.211027095077586,3.4060332201769654,1.0,0.047619047619047616,0.0,3.8719522611050547,3.8561431763278966,1.0,11.0,0.0,4.779842720413069,3.1749631477498355,1.0,1.0,0.0,3.6443978771380876,4.085987333439572,11.0,1.0,2.3978952727983707,3.6466405324093687,3.8606092949846937,0.09090909090909091,1.0,-2.3978952727983707,3.655597100455751,4.541016733646163,1.0,1.0,0.0,-0.10481302445039642,0.0,0.0,805,False
ARB,2025-07-29 13:25:30+00:00,3.4060332201769654,32,28,60,0.047619047619047616,-3.044522437723423,0,2,17,4.10621407062719,3.8561431763278966,1.0,11.0,0.0,4.211027095077586,3.1749631477498355,1.0,1.0,0.0,3.8719522611050547,4.085987333439572,1.0,1.0,0.0,4.779842720413069,3.8606092949846937,1.0,1.0,0.0,3.6443978771380876,4.541016733646163,11.0,1.0,2.3978952727983707,3.6466405324093687,3.858856643475774,0.09090909090909091,1.0,-2.3978952727983707,-0.7001808504502245,-0.9523809523809523,-3.044522437723423,805,False
ARB,2025-07-29 13:26:00+00:00,3.8561431763278966,22,24,46,11.0,2.3978952727983707,1,0,3,3.4060332201769654,3.1749631477498355,0.047619047619047616,1.0,-3.044522437723423,4.10621407062719,4.085987333439572,1.0,1.0,0.0,4.211027095077586,3.8606092949846937,1.0,1.0,0.0,3.8719522611050547,4.541016733646163,1.0,1.0,0.0,4.779842720413069,3.858856643475774,1.0,1.0,0.0,3.6443978771380876,3.8649100271681234,11.0,1.0,2.3978952727983707,0.4501099561509312,10.952380952380953,5.442417710521793,806,False
ARB,2025-07-29 13:26:30+00:00,3.1749631477498355,34,29,63,1.0,0.0,1,1,3,3.8561431763278966,4.085987333439572,11.0,1.0,2.3978952727983707,3.4060332201769654,3.8606092949846937,0.047619047619047616,1.0,-3.044522437723423,4.10621407062719,4.541016733646163,1.0,1.0,0.0,4.211027095077586,3.858856643475774,1.0,1.0,0.0,3.8719522611050547,3.8649100271681234,1.0,1.0,0.0,4.779842720413069,3.634298695798848,1.0,1.0,0.0,-0.6811800285780611,-10.0,-2.3978952727983707,806,False
ARB,2025-07-29 13:27:00+00:00,4.085987333439572,30,20,50,1.0,0.0,0,0,1,3.1749631477498355,3.8606092949846937,1.0,1.0,0.0,3.8561431763278966,4.541016733646163,11.0,1.0,2.3978952727983707,3.4060332201769654,3.858856643475774,0.047619047619047616,1.0,-3.044522437723423,4.10621407062719,3.8649100271681234,1.0,1.0,0.0,4.211027095077586,3.634298695798848,1.0,1.0,0.0,3.8719522611050547,2.2756753066469972,1.0,1.0,0.0,0.9110241856897368,0.0,0.0,807,False
ARB,2025-07-29 13:27:30+00:00,3.8606092949846937,36,17,53,1.0,0.0,0,0,2,4.085987333439572,4.541016733646163,1.0,1.0,0.0,3.1749631477498355,3.858856643475774,1.0,1.0,0.0,3.8561431763278966,3.8649100271681234,11.0,1.0,2.3978952727983707,3.4060332201769654,3.634298695798848,0.047619047619047616,1.0,-3.044522437723423,4.10621407062719,2.2756753066469972,1.0,1.0,0.0,4.211027095077586,3.4116108559813307,1.0,1.0,0.0,-0.22537803845487847,0.0,0.0,807,False
ARB,2025-07-29 13:28:00+00:00,4.541016733646163,41,24,65,1.0,0.0,0,0,2,3.8606092949846937,3.858856643475774,1.0,1.0,0.0,4.085987333439572,3.8649100271681234,1.0,1.0,0.0,3.1749631477498355,3.634298695798848,1.0,1.0,0.0,3.8561431763278966,2.2756753066469972,11.0,1.0,2.3978952727983707,3.4060332201769654,3.4116108559813307,0.047619047619047616,1.0,-3.044522437723423,4.10621407062719,2.5069225455321265,1.0,1.0,0.0,0.6804074386614696,0.0,0.0,808,False
ARB,2025-07-29 13:29:00+00:00,3.858856643475774,37,17,54,1.0,0.0,0,0,1,4.541016733646163,3.8649100271681234,1.0,1.0,0.0,3.8606092949846937,3.634298695798848,1.0,1.0,0.0,4.085987333439572,2.2756753066469972,1.0,1.0,0.0,3.1749631477498355,3.4116108559813307,1.0,1.0,0.0,3.8561431763278966,2.5069225455321265,11.0,1.0,2.3978952727983707,3.4060332201769654,2.2803457004091965,0.047619047619047616,11.0,-3.044522437723423,-0.6821600901703895,0.0,0.0,809,False
ARB,2025-07-29 13:29:30+00:00,3.8649100271681234,48,24,72,1.0,0.0,0,0,1,3.858856643475774,3.634298695798848,1.0,1.0,0.0,4.541016733646163,2.2756753066469972,1.0,1.0,0.0,3.8606092949846937,3.4116108559813307,1.0,1.0,0.0,4.085987333439572,2.5069225455321265,1.0,1.0,0.0,3.1749631477498355,2.2803457004091965,1.0,11.0,0.0,3.8561431763278966,2.2794100886688016,11.0,1.0,2.3978952727983707,0.006053383692349534,0.0,0.0,809,False
