asset,time,spread,spread_vol,bid_updates,ask_updates,depth,quote_updates,log_spread,ratio,log_ratio,informed_share,n_informed,n_uninformed,n_total,hour,minute_of_hour,is_outage,spread_lag1,log_spread_lag1,log_ratio_lag1,quote_updates_lag1,spread_lag2,log_spread_lag2,log_ratio_lag2,quote_updates_lag2,spread_lag3,log_spread_lag3,log_ratio_lag3,quote_updates_lag3,spread_lag4,log_spread_lag4,log_ratio_lag4,quote_updates_lag4,spread_lag5,log_spread_lag5,log_ratio_lag5,quote_updates_lag5,d_spread,d_log_spread,d_log_ratio,d_log_ratio_lag1,d_log_spread_lag1
ARB,2025-07-28 12:29:00+00:00,2.766987708188442,1.266105446072129,69,30,29858.045324669725,99,1.0213667820233439,1.0,0.0,0.0,0,0,1,12,29,False,2.7735404357142084,1.0237236554675464,0.0,118.0,2.9812606473588903,1.0956949197356205,0.0,103.0,3.6098400577467746,1.2864298419187048,0.0,79.0,3.618753658666457,1.2888892446004814,0.0,102.0,3.4065746891499207,1.2286384963051473,3.2188758248682006,96.0,-0.006552727525766411,-0.002356873444202545,0.0,0.0,-0.0719712642680741
ARB,2025-07-28 12:30:00+00:00,2.340002340002319,0.8592977766137525,73,41,32648.95399808182,114,0.8544163239012393,1.0,0.0,0.0,0,0,1,12,30,False,2.766987708188442,1.0213667820233439,0.0,99.0,2.7735404357142084,1.0237236554675464,0.0,118.0,2.9812606473588903,1.0956949197356205,0.0,103.0,3.6098400577467746,1.2864298419187048,0.0,79.0,3.618753658666457,1.2888892446004814,0.0,102.0,-0.4269853681861231,-0.16695045812210452,0.0,0.0,-0.002356873444202545
ARB,2025-07-28 12:32:00+00:00,3.4048348655088843,0.9693828071984958,61,40,37384.79208723853,101,1.2281291362192874,1.0,0.0,0.0,0,0,1,12,32,False,2.340002340002319,0.8544163239012393,0.0,114.0,2.766987708188442,1.0213667820233439,0.0,99.0,2.7735404357142084,1.0237236554675464,0.0,118.0,2.9812606473588903,1.0956949197356205,0.0,103.0,3.6098400577467746,1.2864298419187048,0.0,79.0,1.0648325255065654,0.3737128123180481,0.0,0.0,-0.16695045812210452
ARB,2025-07-28 12:33:00+00:00,3.6074653311972216,1.3571603877883773,66,50,31049.83822263964,116,1.2857735958417034,21.0,3.044522437723423,0.999000999000999,10,0,12,12,33,False,3.4048348655088843,1.2281291362192874,0.0,101.0,2.340002340002319,0.8544163239012393,0.0,114.0,2.766987708188442,1.0213667820233439,0.0,99.0,2.7735404357142084,1.0237236554675464,0.0,118.0,2.9812606473588903,1.0956949197356205,0.0,103.0,0.2026304656883373,0.05764445962241593,3.044522437723423,0.0,0.3737128123180481
ARB,2025-07-28 12:34:00+00:00,2.5514543289677025,1.3374788942221225,38,73,40406.78270989908,111,0.9405751944383243,1.0,0.0,0.0,0,0,1,12,34,False,3.6074653311972216,1.2857735958417034,3.044522437723423,116.0,3.4048348655088843,1.2281291362192874,0.0,101.0,2.340002340002319,0.8544163239012393,0.0,114.0,2.766987708188442,1.0213667820233439,0.0,99.0,2.7735404357142084,1.0237236554675464,0.0,118.0,-1.056011002229519,-0.3451984014033791,-3.044522437723423,3.044522437723423,0.05764445962241593
ARB,2025-07-28 12:35:00+00:00,2.553463134376189,1.5172717685843675,50,76,30925.15150781081,126,0.941359131165396,0.3333333333333333,-1.0986122886681098,0.0,0,1,6,12,35,False,2.5514543289677025,0.9405751944383243,0.0,111.0,3.6074653311972216,1.2857735958417034,3.044522437723423,116.0,3.4048348655088843,1.2281291362192874,0.0,101.0,2.340002340002319,0.8544163239012393,0.0,114.0,2.766987708188442,1.0213667820233439,0.0,99.0,0.0020088054084865803,0.0007839367270717768,-1.0986122886681098,-3.044522437723423,-0.3451984014033791
ARB,2025-07-28 12:36:00+00:00,2.978184944953089,1.18462430600808,27,71,33379.19139422727,98,1.0946661612564,1.0,0.0,0.0,0,0,1,12,36,False,2.553463134376189,0.941359131165396,-1.0986122886681098,126.0,2.5514543289677025,0.9405751944383243,0.0,111.0,3.6074653311972216,1.2857735958417034,3.044522437723423,116.0,3.4048348655088843,1.2281291362192874,0.0,101.0,2.340002340002319,0.8544163239012393,0.0,114.0,0.4247218105768997,0.15330703009100388,1.0986122886681098,-1.0986122886681098,0.0007839367270717768
ARB,2025-07-28 12:37:00+00:00,4.461582587080276,1.4769170842456385,46,72,35686.21667329358,118,1.4977423922925495,1.0,0.0,0.0,0,0,1,12,37,False,2.978184944953089,1.0946661612564,0.0,98.0,2.553463134376189,0.941359131165396,-1.0986122886681098,126.0,2.5514543289677025,0.9405751944383243,0.0,111.0,3.6074653311972216,1.2857735958417034,3.044522437723423,116.0,3.4048348655088843,1.2281291362192874,0.0,101.0,1.483397642127187,0.40307623103614953,0.0,1.0986122886681098,0.15330703009100388
ARB,2025-07-28 12:38:00+00:00,1.9155253328220794,1.028554545499062,31,69,35071.23962711926,100,0.6551988306765841,1.0,0.0,0.0,0,0,3,12,38,False,4.461582587080276,1.4977423922925495,0.0,118.0,2.978184944953089,1.0946661612564,0.0,98.0,2.553463134376189,0.941359131165396,-1.0986122886681098,126.0,2.5514543289677025,0.9405751944383243,0.0,111.0,3.6074653311972216,1.2857735958417034,3.044522437723423,116.0,-2.5460572542581965,-0.8425435616159653,0.0,0.0,0.40307623103614953
ARB,2025-07-28 12:39:00+00:00,4.25179106698768,1.448602195872649,31,68,32364.437950163636,99,1.449689510181898,1.0,0.0,0.0,0,0,1,12,39,False,1.9155253328220794,0.6551988306765841,0.0,100.0,4.461582587080276,1.4977423922925495,0.0,118.0,2.978184944953089,1.0946661612564,0.0,98.0,2.553463134376189,0.941359131165396,-1.0986122886681098,126.0,2.5514543289677025,0.9405751944383243,0.0,111.0,2.336265734165601,0.7944906795053139,0.0,0.0,-0.8425435616159653
